abacus abako
addled sira
addressed sinalita
addressing Pagtugon
adds nagdadagdag
adduce isangkalan
adept sanay
adequacy kasapatan
adequate sapat
adequately sapat
adhere sumunod
adherence malasakit
adherent nakadikit
is ay
adhesion pagdirikit
adhesive malagkit
adhesiveness lagkit
adhesives Pandikit
adieu paalam
adipose mataba
adjacency kalapitan
adjacent katabi
adjoin makapiling
adjoining karatig
adjourn itindig
adjournment pagpapaliban
adjudge mapagkaisahan
adjudged ipinasiyang
adjudicate dinggin
adjudication pagpapasiya
adjunct dagdag
adjured ibinilin
adjust isaayos
adjusted nababagay
adjusts inaayos
adjutant ayudante
administer mangasiwa
administered pinangangasiwaan
administering nangangasiwang
administers nangangasiwa
administrate mamahala
administration pangangasiwa
administrations administrasyon
administrator administrador
administrators administrador
admiration paghanga
admire humanga
admired hinahangaan
admirer tagahanga
admiring hanga
admissible matatanggap
admission pagpasok
admit umamin
admits inamin
admitted admitido
admix ilahok
admixture paghahalo
admonish pagsabihan
admonished Pinayuhan
admonishes Pinapayuhan
admonition pagpapaalaala
admonitory nagbabala
ado linggal
adolescence pagbibinata
adolescent nagbibinata
adolescents kabataan
adopt magpatibay
adopted pinagtibay
adopter adoptador
adopting paghango
adoptive amahan
adopts magpatibay
adoration pagsamba
adore sambahin
adorn magpaganda
adornment paggagayak
adroit sanay
adroitness sanay
adulation paglalangis
adulterate maghalo
adulterated adulterado
adulterating binabantuan
adulteration pagbabanto
adulterer adultero
adultery pangangalunya
adults matatanda
advance sumulong
advancement pagsulong
advances paglago
advancing pagsulong
advantage kalamangan
advantageous magaling
advantages pakinabang
advent pagdating
adventure pakikipagsapalaran
adventures pakikipagsapalaran
adversaries kalaban
adversary kalaban
adverse salungat
adversity kahirapan
advert sumangguni
advertisement paanunsiyo
advertises advertise
advice payo
advices payo
advisable marapat
advise pagpayuhan
advised pinapayuhan
advisedly kinusa
adviser tagapayo
advisers tagapayo
advises nagpapayo
advising pagpapayo
advisor tagapayo
advocacy pagtatanggol
advocate tagataguyod
advocated itinaguyod
advocates tagapagtaguyod
advocating nagtataguyod
adze magdaras
aegis pagtanggol
aerate pahanginan
aeronautics eronautika
aeroplane eruplano
aeroplanes eroplano
aerosol erosol
Aeschines Esquines
aesop Esopo
aesthete esteto
affability pagkamagalang
affair kapakanan
affect makakaapekto
affectation pagkukunwari
affected apektado
affecting naaapektuhan
affection pagmamahal
affectionate magiliw
affectionately magiliw
affections pagmamahal
affective maramdamin
affects nakakaapekto
afferent nagdadala
affidavit apidabit
affidavits affidavit
affiliate kaanib
affiliated kaanib
affiliation pagkakaugnay
affiliations kaakibat
affinity pagkakahawig
affirm magpatibay
affirmation paninindigan
affirmations Pagpapatotoo
affirmed apirmado
affirming Pinatitibayan
affirms papagtibayin
affix panlapi
affixed nakakabit
afflict makasakit
afflicted nagdadalamhati
afflicting nagpapahirap
affliction lungkot
afflictions kapighatian
affluence kasaganaan
affluent mayaman
afflux dagsa
afford makaya
afforded bigyan
affright takot
affront paghamak
afghani apgano
Afghanistan Apganistan
afire nasusunog
aflame nagliliyab
afloat nakalutang
afore nauuna
aforementioned nabanggit
aforesaid nabanggit
aforethought sinadya
afraid natatakot
africans Aprikano
aft popa
after pagkatapos
aftermath resulta
afternoon hapon
afternoons hapon
aftershocks aftershock
afterward pagkatapos
afterwards pagkatapos
again muli
agape nakatunganga
agate agata
age edad
aged matanda
agencies ahensya
agency ahensiya
agenda adyenda
agendas agenda
agent ahente
agents ahente
ages edad
agglomeration pagtitipon
agglutinative aglutinatibo
aggrandisement pagpapalakas
aggrandize magpalakas
aggrandizement pagpapalakas
aggravate magpalubha
aggravated pinalubha
aggravating nagpapalubha
aggravation paglala
aggression pagsalakay
aggressive agresibo
aggressively agresibo
aggressiveness handulong
aggressors mananalakay
aggrieved agrabyado
aghast takot
agile maliksi
agility liksi
agitate makabagabag
agitated nabalisa
agitation pagtatalo
agitator manunulsol
agleam kumikislap
aglow kumikinang
agnostic agnostiko
agnosticism agnostisismo
agonised agonized
agonisingly agonizingly
agrarian agraryo
agreeableness hiyang
agreeably nakalulugod
agreement kasunduan
agreements kasunduan
agricultural agrikultura
agriculturalist magsasaka
agriculture agrikultura
agriculturist magsasaka
agronomist agronomo
agronomy agronomya
aground nakasadsad
ague malarya
ahead nauuna
aid tulong
aide pangalawa
aided nakatulong
aiding pagtulong
aiguille taluktok
aileron eleron
aileth ipinakikialam
ailment karamdaman
ailments karamdaman
aim layunin
aimed naglalayong
aiming pagpuntirya
aims Nilalayon
air himpapawid
aired naisahimpapawid
airfield palapagan
airing pagpapahangin
airlock erlok
airmail ermeyl
airplane eruplano
airport paliparan
airports paliparan
airs maisahimpapawid
airspace putok
airstrip eirstrip
airy mahangin
aisle pasilyo
ajar nakakawang
akimbo nakapamaywang
alabaster alabastro
alarm alarma
alarmed Nababahala
alarmist alarmista
alas Naku
Albanian Albanes
albums album
alchemist alkimiko
alchemy alkimya
alcohol alkohol
alcoholism alkoholismo
alcove alkoba
alderman konsehal
alehouse pab
alembic eylembiko
alert alerto
alerted inalertuhan
alerting inaalerto
alertness agap
alerts alerto
Alexandrians Alexandria
alfalfa alpalpa
algebra alhebra
alias palayaw
aliases alias
alibi dahilan
alien dayuhan
alienated hiwalay
aliens dayuhan
alight nagniningas
alighted Bumaba
alighting pagbaba
align ihanay
aligning pagpapantay
alignment pagkakahanay
alike magkamukha
aliment pagkain
alimentary pampagkain
alimony sustento
aline magpantay
aliquot elikwot
alive buhay
alkaline alkalina
alkaloid alkaloyde
all lahat
allaÂ alla
Allah Ala
allay sumugpo
allegation paninindigan
allegations paratang
allege magdahilan
allegiance katapatan
alleging nagpaparatang
allegorical alegoriko
allegory alegorya
allergen alerdyen
alleviate magpakalma
alleviation pagpapabawa
alleys alley
alliance alyansa
allied magkakatulad
allies kaalyado
alligator buwaya
alliteration aliterasyon
allocate maglaan
allocated inilalaan
allocating paglaan
allocations alokasyon
allotment pamamahagi
allotted inilaang
allow payagan
allowable pinapahintulutan
allowance rasyon
allowances rasyon
allowed pinapayagan
allspice olspays
allude magparinig
alluded Tinukoy
allure gayuma
alluring nakatutukso
allusion parunggit
alluvial naaanod
ally kapanalig
almanac almanake
almond pili
almost halos
alms limos
aloe eloe
aloof malayo
aloofness paglalayo
aloud malakas
alpaca alpaka
alphabet alpabeto
already na
alright tama
Alsatian Elsasyan
also din
altars dambana
alter baguhin
alteration pagbabago
alterations Alterasyon
altercate magtalo
altercation pagtatalo
altered binago
altering binabago
alternate alternatibo
alternated salitan
alternately halili
alternation paghahalili
alternatives alternatibo
alternator olterneytor
alters Binabago
although bagaman
altimeter altimetro
top taas
altitudes kabundukan
alto kontralto
altogether kabuuan
altruism altruismo
altruist altruista
altruistic mapagkaloob
alum tawas
aluminium aluminyo
aluminum aluminyo
alway palagi
always palagi
amanuensis takigrapo
amass tipunin
amateur baguhan
amateurish baguhan
amatory mapagmahal
amaze humanga
amazement paghanga
Amaziah Amasias
amazon birago
ambassador ambasador
amber ambar
ambergris embegris
ambience kapaligiran
ambient pumapaligid
ambiguity kalabuan
ambition ambisyon
ambitions ambisyon
ambitious mapaghangad
ambivalent pinagtigalawa
amble embel
ambulance ambulansya
ambulances ambulansya
for para
ambuscade tambangan
ambush tambangan
ambushers bakay
ambushes pananambang
ameliorate magpaunlad
amelioration pagpapabuti
amenability pagsunod
amenable palasunod
amend baguhin
amended sinususugan
amendment susog
amendments susog
american amerikano
Americanism Amerikanismo
americans Amerikano
amethyst amatista
amiability pagkamabait
amiable magiliw
amicability pagkamabait
amicable mapayapa
amir emir
amiss mali
amity pagkakasundo
ammeter amperimetro
ammo munisyon
ammonia amonya
amnesia amnesya
amnesty indulto
amoeba amiba
amok huramentado
Amorites Amorrheo
amorous mapagmahal
amortised amortized
amount dami
amounted umabot
ampere amper
ampersands ampersand
amphibia ampibyo
amphibian ampibyo
amphitheater ampiteatro
amphitheatre ampiteatro
ample sapat
amplest pakikipag
amplification paglaki
amplify palakasin
amplitude malawak
amply labis
amputate putulin
amputated pinutol
amputation pagputol
amuck huramentado
amuse magpatawa
amused nilibang
amusement dibersiyon
amusing nakakatawa
an isang
anaemia anemya
anaemic anemiko
anaesthetic pampamanhid
anaesthetics pampamanhid
anaesthetised anestesya
anaesthetist anestesista
anaesthetists anesthetists
analogous analogo
analogy pagkakatulad
analyse suriin
analysed Nasuri
analyser analisador
analysers analyzers
analysis pagsusuri
analysts analyst
analytic analitiko
analyze suriin
analyzed Nasuri
ananas pinya
anathema sumpa
anatomic pangkatawan
anatomical pangkatawan
anatomist anatomista
anatomy anatomya
ancestor ninuno
ancestors ninuno
ancestral minamana
ancestry lipi
anchor angkla
anchorage daong
anchored iniduong
anchoring angklahe
anchorite ermitanyo
anchors anchor
anchovies bagoong
anchovy dulis
ancient sinauna
ancillary mababa
and at
anecdote anekdota
anemia anemya
anemic anemiko
anemone anemona
anemones anemone
angel anghel
angelic angheliko
angelica Anhelika
angelus anghelus
anger galit
angered ikinagalit
angina anghina
angle anggulo
angler mamimingwit
angles anggulo
anglican Anglikano
angling pamimingwit
angola Anggola
angrily pagalit
angry nagagalit
anguish dalamhati
angular anggular
anil enil
aniline anilina
animadversion pagpula
animal hayop
animals hayop
animation animasyon
animations animation
animators animator
animism animismo
anise anis
aniseed anis
ankara Angkara
anneal magsubo
annealing pagsusubo
annex magdugtong
annexation pagsasanib
annexe dugtong
annexed isanib
annihilate mapuksa
annihilated nilipol
annihilation paglipol
anniversaries anibersaryo
anniversary anibersaryo
annotations anotasyon
announce ipahayag
announced inihayag
announcement anunsyo
announcements anunsyo
announcer tagapagbalita
announcing hayag
annoy mangyamot
annoyance pagkayamot
annoyed inis
annoyer tagasuya
annoying nakakainis
annual taunan
annualised annualized
annulling napapawi
annunciation pagpapahayag
anode anod
anodyne anodino
anoint magpahid
anointing Pagpapahid
anomalies anomalya
anomalous iregular
anomaly anomalya
answer sagot
answerable masasagot
answered sumagot
answereth sumasagot
answers sagot
ant langgam
antagonise sumalungat
antagonised antagonized
antagonising antagonizing
antagonism kagalitan
antagonist kalaban
antagonistic magkagalit
antecedent nauuna
antecedents pinagmulan
antediluvian antedilubyano
antelope antilope
antenna antena
antennas antenna
anterior nauuna
anthem awit
anthems awit
anther anter
anthology antolohiya
anthrax antraks
anthropoid antropoyde
anthropological antropolohiko
anthropologist antropologo
anthropology antropolohiya
anthropomorphic antropomorpiko
anthropomorphism antropomorpismo
antibiotic antibyotiko
antic komiko
Antichrist Antikristo
anticipate mauna
anticipated inaasahang
anticipating inaasam
anticipatory pauna
anticlimax paghulaw
anticyclone antisiklon
antidote panlunas
antimony antimonyo
antipathetic mainis
antipathy pagkainis
antipodes antipodas
antiquarian antikwaryo
antiquary antikwaryo
antique makaluma
antiseptic antiseptiko
antisocial antisosyal
antithesis kabaligtaran
antithetic antitetiko
antithetical antitetiko
antlion antlayon
antonym antonim
ants langgam
anvil palihan
anxieties kabalisahan
anxiety balisa
anxious balisa
anxiously balisa
any anumang
anyone sinuman
apace pabilis
apart hiwalay
ape unggoy
apeman eipman
Apennines Apeninas
aperitif aperitiw
aperitifs aperitif
aperture siwang
apex tugatog
aphid dapurak
aphorism talinghaga
aphoristic panalinghaga
aphrodisiac pampalibog
Aphrodite Aprodita
apiary abehera
apis pukyutan
aplenty marami
apnoea apnea
apocalypse pahayag
apocryphal apokripiko
apogee kasukdulan
apologia apolohiya
apologies pasensiya
apologising apologizing
apologist tagapagtanggol
apologists tagapagtanggol
apoplectic apopletiko
apoplexy apopleksya
apostle apostol
apostles apostol
apostolate apostolado
apostolic apostoliko
apostolical apostoliko
apostrophe kudlit
apotheosis pagpupuri
appal mangilabot
appall makapanlumo
appalling nakapanlulumo
apparel damit
apparent maliwanag
apparition multo
appeal apela
appealing sumasamo
appeals apila
appear lumitaw
appearance hitsura
appearances hehe
appeared lumitaw
appeareth napakita
appearing lumilitaw
appears Lumilitaw
appease maglubag
appeased pinalamig
appeasement pagpapayapa
appellant umaapela
appellation pangalan
append ilakip
appendage dagdag
appended nakadugtong
appendicitis apendisitis
appendix apendiks
appends Ikinakabit
appertain matungod
appetiser pampagana
appetising pampagana
appetit gana
appetite gana
appetites hilig
appetizing pampagana
applaud pumalakpak
applause palakpakan
apple mansanas
appliance kasangkapan
applicability Aplikasyon
applicable naaangkop
applicant aplikante
applicants aplikante
applications aplikasyon
applicator aplikator
applied panggamit
applies Nalalapat
apply ilapat
appoint humirang
appointed hinirang
appointing paghirang
apportion pagkalooban
apportionment bahagi
apposite angkop
apposition paglalagay
appraisal tasa
appraise tasahan
appreciate magpahalaga
appreciated pinahahalagahan
appreciates Pinahahalagahan
appreciating pagpapahalaga
appreciation pagpapahalaga
appreciative nagpapasalamat
apprehend hulihin
apprehended nadakip
apprehension pagkakahuli
apprentice baguhan
approach paglapit
approachable mararating
approached nilapitan
approaches pamamaraang
approaching papalapit
approbation papuri
appropriate naaangkop
appropriated angkin
appropriately naaangkop
appropriateness katumpakan
approve aprobahan
approved naaprubahan
approves aaproba
approving pumapayag
approvingly patibay
approximated tinatayang
approximately halos
approximates nagtataya
approximation aproksimasyon
Apr Abril
apricot aprikot
april Abril
apron tapis
apropos nababagay
apse apsis
apt matalino
aptitude kakayahan
aptness kakayahan
aquaÂ aqua
aquamarine akwamarin
aquarium akwaryum
aquariums Aquarium
arabesque arabesko
arabians Arabia
arabic Arabe
arable maaararo
arachnid araknida
arachnoid araknoid
Aramaic Arameik
Araucanians Araucanian
arbiter tagahatol
arbitrage arbitrahe
arbitrarily nagkataon
arbitrariness palad
arbitrate mamagitan
arbitration arbitrasyon
arbitrator tagahatol
arbor balag
arbour balag
arc arko
arcade arkada
arcades arcade
Arcadian Arkadian
arch arko
archaeological arkeolohiko
archaeologist arkeologo
archaeology arkeolohiya
archaism arkaismo
archangel arkanghel
archangels arkanghel
archbishop arsobispo
archbishopric arsobispado
archdeacon arkdikon
archdiocese arkdyosis
archduke arkdyuk
archer mamamana
archers mamamana
arches arko
archetype orihinal
Archimedes Arkimed
archipelago kapuluan
architect arkitekto
architects Arkitekto
architecture arkitektura
architrave arkitreib
archival arkibal
archived archive
archiving archive
archivist arkiwista
Archivo Archive
archness pagtuya
arctic Artiko
ardency dubdob
ardent masigasig
ardently masigasig
ardor sigasig
ardour sigasig
arduous nakapapagod
are ay
area lugar
argent pilak
Argentina Arhentina
Argentine Arhentina
argot argo
argue magtaltalan
argued Nagtalo
arguing pagtatalo
argument argumento
argumentation argumentasyon
arguments argumento
aria arya
arid tigang
aridity pagkatuyo
aridness pagkatuyo
arise pumailanglang
ariseth sumisikat
arising nagbubuhat
aristocracy aristokrasya
aristocrat aristokrata
aristocratic maharlika
Aristotelian Aristoteliko
arithmetic palatuusan
arizona Arisona
ark kaban
arm braso
armadillo armadilyo
armband gasa
armed armado
armenia Armenya
Armenian Armenyo
armful pangko
armhole armhoul
armies hukbo
armored nakabaluti
armour armor
armoured nakabaluti
armouries armories
armpit kilikili
arms armas
army hukbo
aromatic mabango
arose bumangon
arousal pagpukaw
arouse pukawin
arousing pagpukaw
arraign magsakdal
arraignment pagsasakdal
arrange ayusin
arranged isagawa
arrangement pagkakaayos
arrangements kaayusan
arrant talaga
arrayed gibistihan
arrays array
arrears atraso
arrest aresto
arrested hinuli
arrival pagdating
arrive dumating
arrived dumating
arrives dumating
arriving pagdating
arrogance pagmamataas
arrogant mayabang
arrogate kumamkam
arrow palaso
arson panununog
art sining
artefact artepakto
artefacts artefact
arterial arteryal
artesian artisyano
artful matalino
artfulness talino
article artikulo
articles artikulo
articulate nakapagsasalita
articulation magsalita
artifice unlang
artificial artipisyal
artificiality artipisyal
artificially artipisyal
artillery artilerya
artist pintor
artistic masining
artistry kasiningan
artists artist
arts sining
as bilang
AsaÂ Asa
asbestos asbesto
climb umakyat
ascended umakyat
ascending Pataas
ascertain tumyak
ascertainment pagtiyak
ascetic asetiko
ascribe idahilan
ascription pagpapalagay
aseptic aseptiko
ash abo
ashamed napapahiya
ashen malabo
ashes abo
ashtray titis
asia Asya
asian Asyano
asiatic Asyatiko
asinine tanga
ask magtanong
asked tinanong
asketh hihilingin
askew nakatagilid
asking humihingi
asks nagtatanong
aslant hilig
asleep tulog
aspects aspeto
asperity dahas
asphalt aspalto
asphyxiated inis
asphyxiation inis
aspirant aspirante
aspirate magmithi
aspiration hangad
aspirations mithiin
aspire hangarin
aspiring naghahangad
asps ahas
ass asno
assail tumuligsa
assailable masasalakayin
assailant sumusugat
assailed tinuligsa
assassinated pataksil
assault gumahasa
assaulted sinalakay
assaults pagsalakay
assayed pinagsikapan
assegai sibat
assemblage katipunan
assemble magtipon
assembled tipunin
assemblies asembliya
assembly pagpupulong
assert magsaysay
asserted iginiit
asserting paggigiit
assertion badya
assertive mapamilit
assertiveness paggigiit
asserts ihinahayag
asses asno
assess masuri
assessable makapaghalaga
assessed tinasa
assesses tinatasa
assessing pagtatasa
assessment pagtatasa
assessments pagtasa
assessor tagatasa
assiduity kasigasigan
assiduous matiyaga
assign magtalaga
assignation pagmamana
assigned nakatalaga
assigns pinaglaanan
assimilate umintindi
assimilation paglagom
assist tulungan
assistance tulong
assistant katulong
assistants katulong
assisted tinulungan
assisting pagtulong
assists Assist
Assize Paglilitis
associate makisama
associated kaugnay
associates naiuugnay
associating iuugnay
association samahan
associations asosasyon
assortment klase
assuage mapayapa
assume ipalagay
assumes Ipinapalagay
assumption palagay
assumptions pagpapalagay
assurance katiyakan
assure siguruhin
assured sigurado
assuredly tiyak
assurer nagpapaseguro
assures Tinitiyak
assuring tinitiyak
assyria Asiria
assyrian Asiryan
aster astra
asterisk asterisko
asterisked asterisko
asthma hika
astigmatic astigmatiko
astigmatism astigmatismo
astir nerbiyoso
astonish mamangha
astonished matigilan
astound magpataka
astounded mabigla
astraddle bisaklat
astray naliligaw
astride nakasaklang
astringent matigas
astrolabe astrolyabya
astrologer astroloho
astrology astrolohiya
astronaut astronawta
astronautics astronotika
astronauts astronaut
astronomer astronomo
astronomers astronomo
astronomy astronomya
astute matalas
asylum asilo
at sa
atavism atabismo
atavistic atabistiko
atheist ateo
atheistic malaateista
athena Atenas
ATHENE Atenas
athens Atenas
athlete atleta
athletes ATLETA
athletic malakas
athletics palakasan
Athwart Nakahalang
atmosphere kapaligiran
atmospheres atmosperang
atmospheric atmospera
atoll atol
atom atomo
atomic atomiko
atomistic atomistiko
atoms atom
atrocious napakasama
atrocity kabangisan
atrophy pagkasayang
attach maglakip
attached nakalakip
attaching paglakip
attachments attachment
attack atake
attacked inaatake
attacker magsasalakay
attacking paglusob
attain matamo
attainable maaabot
attained Natamo
attaining matamo
attainment kakayahan
attempt tangka
attempted Tinangka
attempting pagtatangka
attempts pagtatangka
attend dumalo
attendance pagdalo
attendees dadalo
attends dumadalo
attention pansin
attentive maasikaso
attentively mabuti
attentiveness pagkaasikaso
attenuate magpalambing
attenuated pinahina
attenuates nagpapahina
attenuation pagpapalambing
attest magpatunay
attestation patotoo
attested nagpatotoo
attesting nagpapatunay
attests nagpapatunay
attire maggayak
attitude saloobin
attitudes saloobin
attorneys abogado
attract umakit
attracted akit
attracting akit
attraction atraksyon
attracts umaakit
attribute katangian
attributed maiugnay
attributes katangian
attribution pagpapalagay
attributions pagpapatungkol
auction subasta
auctioneer magsubasta
auctions auction
audacious marahas
audacity katapangan
audible naririnig
audibly maririnig
audience madla
audiences mambabasa
audiovisual odiobisual
auditing awdit
auditioned audition
auditor tagasuri
auditorium auditoryum
auditors auditor
auditory pandinig
audits audit
Aug Agosto
auger barena
Aught Anuman
augment magpalaki
augmentation pagpapalaki
augmented pinalaking
augur awgur
augury hula
aunt tiyahin
aunts tiya
aural pandinig
aurally pandinig
aurevoir paalam
auspices tangkilik
auspicious mapalad
austere mabagsik
austerity pagkamahigpit
austral astral
Australians Australyano
austria Awstrya
Austrian Awstrya
authentic tunay
authentically tunay
authenticate patunayan
authenticated napatotohanan
authenticating Pinapatunayan
authoring author
authorisation awtorisasyon
authorisations pagpapahintulot
authorise magpahintulot
authorised awtorisadong
authorises authorizes
authorising pinapahintulutan
authoritarian awtoritaryan
authoritative makapangyarihan
authorities awtoridad
authorization awtorisasyon
authorize magpahintulot
Authorized Awtorisadong
authorizing pinapahintulutan
autocracy autokrasya
autocrat autokrata
autocratic diktatoryal
autograph pirma
automatically Awtomatikong
automaton automat
automobile awto
automobiles sasakyan
automotive automotiw
autonomous nagsasarili
autonomy pagsasarili
autopsy lapa
autumn taglagas
auxiliary katulong
avail mapakinabangan
available magagamit
avalanche pagguho
avaricious matakaw
avenge maghiganti
avenger tagapaghiganti
avenue abenida
average karaniwan
averages katamtaman
averse tutol
avert umiwas
averted naiwasan
aviate magpalipad
aviation abyasyon
aviator manlilipad
avid sabik
avidity kasabikan
avocado abukado
avocation propesyon
avoid iwasan
avoided iwasan
avow magtapat
avulsion pagkalagot
await malaan
awaiting naghihintay
awaits naghihintay
awake gising
awaked gumising
awaken gumulantang
awakened nagising
awakening paggising
awakens pinupukaw
awaking gumising
award premyo
awarded iginawad
awarding paggawad
awareness kamalayan
away malayo
awe sindak
aweary pagod
awed hanga
awkward mahirap
awkwardness kaasiwaan
awl balibol
awning karang
awry pilipit
ax palakol
axe palakol
axiomatic malinaw
axis aksis
axle ehe
Azariah Azarias
Babbitt Magbebit
babble ngumawa
baby sanggol
Babylonia Babilonia
bachelor binata
back likod
backdrop senaryo
backer tagapagtaguyod
backgrounds background
backlog panustos
backpedal prenuhan
backpedalled backpedaled
backpedalling backpedaling
backrest sandalan
backside likuran
backsliding pagtalikod
backups backup
backward pabalik
backwardness kamahinaan
backwards paurong
backwater sapa
backwoods kagubatan
backwoodsman tagakagubatan
bacon tusino
bacteria bakterya
bacteriological bakteryolohiko
bacteriologist bakteryologo
bacteriology bakteryolohiya
bad masama
bade iniutos
badge tsapa
badger pagmalupitan
badges badge
badinage pagbiro
badly masama
badness kasamaan
baffle malas
baffling mahirap
bag supot
baggage bagahe
bagging pagsasako
baggy nakaumbok
bahay bahay
bail lagak
bait pain
baize tabing
bake magtapa
baked lutong
bakehouse paghuhurnuan
baker panadero
bakery panaderya
Balak Balac
balance balanse
balanced timbang
balances balanse
balancing pagbabalanse
balconies balkonahe
balcony balkonahe
bald kalbo
balderdash kalokohan
baldness pagkakalbo
bale basta
baleful masama
ball bola
ballad balad
ballast balasto
ballerina baylarina
ballet baley
balloon lobo
ballot balota
ballots balota
ballpen bolpen
balls bola
bally masyado
balm panghaplas
balmy mabango
baloney kalokohan
balsam magbalsamo
baluster balustre
balustrade balustrada
bamboo kawayan
bamboos kawayan
bamboozle manuba
ban pagbabawal
banal karaniwan
banality pagkakaraniwan
banana saging
band banda
bandage bendahe
bandages benda
